City,Area,PM2.5,NO,NO2,SO2,CO,O3,Traffic_Emission,Industrial_Emission,Exposure_Score,Season-encoded,Month,AQI
Delhi,Rohini,290.99746618946756,26.509131087954742,129.1567400381877,49.76376184598652,3.1749965171215466,31.495861109970477,155.66587112614246,81.51372701720199,1.7013407832645,1,7,182
Delhi,Rohini,311.19108227473123,64.1003510568888,119.13016089144637,6.543837072185184,6.319459112971966,152.3530357320696,183.23051194833516,69.73842820190484,2.0554082808635443,1,11,201
Delhi,Rohini,60.22584209389416,99.29904033620957,106.44741134788032,50.87398703662107,0.5423978313183044,18.8053001318336,205.7464516840899,56.29796534980411,0.8026028027070319,2,6,58
Delhi,Rohini,237.43733946949004,22.554447458683764,60.90025079493054,32.47713824702688,3.2364199053022156,144.55403362984725,83.45469825361431,64.84133730004903,1.5354494962449814,1,11,151
Delhi,Rohini,170.9139774674772,98.49077972261094,85.3468050547172,69.49553050522404,4.581845231526678,89.33237657497459,183.83758477732812,115.31398282049082,1.4606237982154957,2,3,122
Delhi,Rohini,335.17680580346666,96.90688297671034,133.17562873630456,27.8460326880028,1.0860326840383032,127.89844937450589,230.0825117130149,38.70635952838583,2.13408186444568,3,2,210
Delhi,Rohini,95.39108810498587,54.56592191001432,24.814392956130575,73.19903015590866,2.0526798896001015,124.31617691840702,79.38031486614489,93.72582905190967,0.9764089940928667,3,12,74
Delhi,Rohini,183.29520360246096,28.714749658136995,99.47804589479881,7.348496934166894,5.553708647569991,89.20943200601134,128.19279555293582,62.885583409866804,1.2937564363474718,3,2,126
Delhi,Rohini,319.49993162401813,63.810998092997664,149.06239290323634,11.636937653893963,1.6758971745148712,22.46250267023878,212.873390996234,28.395909399042676,1.8054633326271037,1,10,194
Delhi,Rohini,304.9148161166639,77.25880991236428,95.55689853447117,49.00633742478862,6.291531843584828,115.16065086830297,172.81570844683546,111.92165586063689,2.0194552948182065,1,8,194
Delhi,Rohini,145.9193166541839,24.874024515670225,22.18909694376715,36.755111052977725,2.869289109053418,63.42554882847629,47.063121459437376,65.4480021435119,0.9355506114795866,1,9,90
